"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"CLBH","Carolina Bank Holdings Inc.","4.1","13886700","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CART","Carolina Trust Bank","2.2999","10657736.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cart",
"CRZO","Carrizo Oil & Gas, Inc.","28.26","1118474280","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CRRB","Carrollton Bancorp","4.14","10664640","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crrb",
"TAST","Carrols Restaurant Group, Inc.","15.25","337055500","n/a","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"CARV","Carver Bancorp, Inc.","7.4999","27727130.3","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","2.19","29816850","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CACB","Cascade Bancorp","5.68","268277760","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"CSCD","Cascade Microtech, Inc.","4.936","69661768","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CWST","Casella Waste Systems, Inc.","6.23","161344540","n/a","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","55.46","2110918520","n/a","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CASS","Cass Information Systems, Inc","39.95","413762150","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CMRG","Casual Male Retail Group, Inc.","3.36","162889440","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cmrg",
"CHSI","Catalyst Health Solutions, Inc","63.73","3202113850","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/chsi",
"CPRX","Catalyst Pharmaceutical Partners, Inc.","1.11","21528450","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CATY","Cathay General Bancorp","17.7","1392246600","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"CVCO","Cavco Industries, Inc.","46.58","320982780","n/a","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/cvco",
"CAVM","Cavium, Inc.","30.94","1528683520","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"CAZA","Cazador Acquisition Corporation Ltd.","9.84","48589920","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/caza",
"CAZAU","Cazador Acquisition Corporation Ltd.","10.05","46230000","n/a","2010","Finance","Business Services","http://www.nasdaq.com/symbol/cazau",
"CAZAW","Cazador Acquisition Corporation Ltd.","0.31","2585400","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cazaw",
"CBEY","Cbeyond, Inc.","8","242840000","n/a","2005","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cbey",
"CBOE","CBOE Holdings, Inc.","28.42","2522814980","n/a","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cboe",
